question,biomistral_prediction,correct,score
"A 7-year-old girl is brought to the clinic by her father because of behavior problems at school since she started second grade 6 months ago. Her teacher is concerned because she cannot sit still or complete tasks and is not learning at the same pace as her classmates. Psychoeducational testing shows normal intelligence. The father says his daughter’s behavior problems have worsened since last year. She snores at night and wets the bed several nights weekly. She has no history of serious illness and receives no medications. She has been at the 25th percentile for height and weight for the past 3 years. Pulse is 105/min and regular, respirations are 22/min, and blood pressure is 105/65 mm Hg. The tonsils are 3+. Cardiopulmonary and abdominal examinations show no abnormalities. On neurologic examination, cranial nerves are intact. Deep tendon reflexes are 2+ in all extremities. Finger-nose testing shows no abnormalities. Romberg sign is absent. Her gait is normal. Which of the following is the most appropriate next step in diagnosis?",C,D,False
"An 8-year-old boy is brought to the emergency department (ED) by ambulance 45 minutes after he was struck by a car while riding his bicycle. He did not lose consciousness but has multiple rib fractures with depression of the left anterior chest wall. His parents have been notified and are on their way to the hospital. On the patient's arrival to the ED, his temperature is 37.2°C (99.0°F), pulse is 180/min, respirations are 36/min, and blood pressure is 65/30 mm Hg. The abdomen is distended with exquisite tenderness to palpation. A rapid intravenous infusion of 0.9% saline is begun. CT scans are quickly obtained and show a disrupted spleen and an abdominal cavity filled with free fluid. The parents arrive at the hospital and are informed that their son needs an emergency laparotomy and splenectomy to control the internal bleeding. A saline infusion is continued to support the patient's blood pressure. The parents provide consent to proceed with the operation but refuse to consent to transfusion of blood or blood products, regardless of consequences, because of their religious beliefs. As the patient is transferred to the operating room, his pulse is 210/min and blood pressure is 50/20 mm Hg. Hemoglobin concentration is 3.8 g/dL. The surgeon agrees with the anesthesiologist that the patient will die without transfusion of blood and plasma. Which of the following is the most appropriate action?",E,C,False
"A female newborn has the onset of tachypnea 4 hours after birth. She was delivered at term to a 24-year-old woman following an uncomplicated pregnancy and delivery. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. Her parents had refused prenatal screening. The patient's temperature is 37.2°C (99.0°F), pulse is 150/min, respirations are 60/min, and blood pressure is 55/35 mm Hg. On cardiac examination, a single, loud S₂ is heard. The liver edge is palpated 3 cm below the right costal margin. Capillary refill time is 6 seconds. Peripheral pulses are difficult to palpate in all extremities. Arterial blood gas analysis on room air shows: pH: 7.24 PCO₂: 35 mm Hg (N=27–40) PO₂: 68 mm Hg HCO₃⁻: 15 mEq/L Chest x-ray shows increased pulmonary haziness and vascular markings suggestive of bilateral pulmonary edema. The most appropriate next step in management is administration of which of the following?",C,C,True
"A 43-year-old woman comes to the office for a follow-up examination 1 week after she was discharged from the hospital following an overnight admission for an episode of crushing, aching chest pain. The pain was located behind her sternum and radiated to her left jaw and shoulder. She also had shortness of breath, palpitations, and nausea. Initial ECG obtained on admission showed ST-segment depressions in leads V₃ through V₆. Nitroglycerin was administered, and the chest pain resolved. Follow-up serial ECGs disclosed no abnormalities and serum troponin concentrations were within the reference ranges. Cardiac catheterization obtained the next morning showed no substantial narrowing of the coronary arteries. At discharge, the patient declined medication to prevent recurrence of pain. The patient reports that since discharge, she has had two episodes of chest discomfort lasting 2 to 4 minutes, similar in location and quality to the pain precipitating her hospitalization. Medical history otherwise is unremarkable and she takes no routine medications. Vital signs are within normal limits. Physical examination discloses no abnormalities. Which of the following is the most appropriate pharmacotherapy to prescribe at this time?",E,A,False
"A 35-year-old woman is brought to the emergency department by police after they found her wandering the streets and appearing intoxicated. On arrival, she is tremulous and appears distressed. She says she moved out of her abusive boyfriend’s apartment 1 week ago because she was afraid he would kill her. She has no financial or emotional family support. She worked at a grocery store until 1 month ago when she was fired for missing four shifts during the course of 1 week. During the past week, she has slept less than 4 hours nightly because she has slept on the streets or in shelters. She has panic disorder treated with fluoxetine. She takes no other medications. Ten years ago, she underwent 6 months of psychotherapy for dependent personality disorder. During the past year, she has drunk four or more glasses of wine and other alcoholic beverages nightly. She tried to quit drinking alcohol twice during the past year but was unsuccessful. Her last alcoholic drink was 24 hours ago. Pulse is 90/min and blood pressure is 140/90 mm Hg. Physical examination shows resting hand tremors and delayed reflexes. Mental status examination shows slurred speech. She has an irritable mood and anxious affect. Blood alcohol concentration is 140 mg/dL. Which of the following is the strongest predisposing risk factor for suicide in this patient?",B,B,True
"A 76-year-old woman, who is receiving home hospice care because of endstage metastatic lung cancer diagnosed 1 month ago, is examined at home at the request of her family because of a 3-hour history of labored breathing despite receiving 100% oxygen at 5 L/min via face mask. Pulse is 92/min, respirations are 18/min, and blood pressure is 105/62 mm Hg. Pulse oximetry on 100% oxygen via face mask shows an oxygen saturation of 85%. The patient appears cachectic and is in mild distress, showing increased work of breathing with prominent sternocleidomastoid muscles and intermittent agonal respirations. Which of the following is the most appropriate next step in management?",B,A,False
"A 42-year-old woman comes to the physician because of a 1-month history of moderate constant abdominal pain. She was evaluated in the emergency department 6 weeks ago for renal calculi and was told that her serum calcium concentration was increased. She has labile hypertension treated with hydrochlorothiazide and enalapril. Two brothers have hyperparathyroidism, and one sister has an adrenal tumor. The patient's temperature is 37.0°C (98.6°F), pulse is 80/min, respirations are 12/min, and blood pressure is 182/98 mm Hg. Funduscopic examination shows arteriovenous nicking. There is mild, diffuse tenderness to palpation of the abdomen. The remainder of the examination shows no abnormalities. Serum calcium concentration is 13.2 mg/dL. Urine metanephrine concentration is 4000 μg/24 h (N=140–785). This patient is most likely at risk for which of the following conditions?",E,D,False
A 26-year-old woman with common variable immunodeficiency comes to the office because of a 2-month history of night sweats. She also has had a 10-kg (22-lb) weight loss during the past 3 months despite no change in appetite. She has a 15-year history of recurrent sinusitis and otitis media. Her only medication is intravenous immune globulin. She is 163 cm (5 ft 4 in) tall and weighs 54 kg (120 lb); BMI is 21 kg/ m². Vital signs are within normal limits. Examination shows cervical and epitrochlear lymphadenopathy. Which of the following is the most appropriate next step in management?,A,A,True
"A 9-month-old boy is brought to the office by his mother because of a 6hour history of persistent fussiness and decreased appetite. Two weeks ago, he was diagnosed with an upper respiratory tract infection. The symptoms have since resolved. He lives with his parents and a pet lizard. His diet consists of cow milk-based formula, baby food, and some solid foods. He has no history of serious illness and receives no medications. Immunizations are up-to-date. Today, he is inconsolable. He is at the 50th percentile for length and weight. Examination shows multiple flaccid bullae on an erythematous base over the buttocks. The mother says she had no knowledge of these findings. Which of the following is the most appropriate next step in management?",F,E,False
"A 62-year-old woman is admitted to the hospital because of an 8-hour history of severe right upper abdominal pain, nausea, and fever that began after she ate fried fish and potatoes. During the past 3 years, she has had 12 episodes of similar pain after meals, but it has not lasted as long or been as severe as this episode. She has hypertension, hyperlipidemia, and alcohol use disorder. Her medications are amlodipine, benazepril, and simvastatin. She drinks one 12-oz beer daily. She is 163 cm (5 ft 4 in) tall and weighs 86 kg (190 lb); BMI is 33 kg/m². Temperature is 38.5°C (101.3°F), pulse is 120/ min, respirations are 28/min, and blood pressure is 100/68 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 98%. On abdominal examination, there is diffuse tenderness to palpation, rebound, and guarding. Bowel sounds are decreased. Laboratory studies show: Hematocrit: 35% Leukocyte count: 16,000/mm³ Serum Ca²⁺: 7.9 mg/dL Urea nitrogen: 26 mg/dL Glucose: 200 mg/dL Creatinine: 2 mg/dL Triglycerides: 180 mg/dL AST: 162 U/L ALT: 98 U/L Amylase: 682 U/L Lipase: 515 U/L (N=14–280) Serum electrolyte concentrations and lactate dehydrogenase activities are within the reference ranges. Which of the Following is the most appropriate next step in diagnosis?",E,E,True
